LGA code,Local Government Area,persons,km2,persons km2
58570,Vincent (C),36088,11.4,3172
58610,Wagin (S),1824,1946.2,0.9
58680,Wandering (S),431,1903.9,0.2
58760,Wanneroo (C),203679,683.3,298.1
58820,Waroona (S),4169,832.2,5
58890,West Arthur (S),798,2831.8,0.3
59030,Westonia (S),302,3319.4,0.1
59100,Wickepin (S),730,2040.9,0.4
59170,Williams (S),1024,2304.7,0.4
59250,Wiluna (S),706,181297.3,0
59310,Wongan-Ballidu (S),1299,3365.1,0.4
59320,Woodanilling (S),428,1128.8,0.4
59330,Wyalkatchem (S),498,1594.5,0.3
59340,Wyndham-East Kimberley (S),7317,112066,0.1
59350,Yalgoo (S),357,27949.5,0
59360,Yilgarn (S),1169,30428.8,0
59370,York (S),3591,2131.6,1.7
89399,ACT,420960,2358.2,178.5
